一	yi1|yi2|yi4
是	shi4|ti2
人	ren2
了	le5|liao3|liao4
不	bu4|fou3|fou1|fu1|bu2
在	zai4
有	you3|you4|wei3
大	da4|dai4|tai4
中	zhong1|zhong4
国	guo2
和	he2|he4|hu2|huo2|huo4|huo5
为	wei4|wei2
这	zhe4|zhei4
上	shang4|shang3
他	ta1|tuo2
个	ge4|ge3|gan4
地	di4|de5
年	nian2|ning4
来	lai2
我	wo3
会	hui4|kuai4
以	yi3|si4
到	dao4
时	shi2
要	yao4|yao1|yao3
出	chu1
的	de5|di1|di2|di4
生	sheng1
学	xue2
说	shuo1|shui4|yue4
道	dao4|dao3
民	min2
家	jia1|jia5|jia4|jie5|gu1
子	zi5|zi3
也	ye3|yi2
成	cheng2
行	xing2|hang2|heng2|xing4|hang4
下	xia4
们	men5|men2
于	yu2|wei2|yu1|xu1
后	hou4
就	jiu4
发	fa1|fa4
自	zi4
之	zhi1|zhu1|zhi4
对	dui4
得	de2|de5|dei3
主	zhu3|zhu4
长	zhang3|chang2
可	ke3|ke4|ge1
过	guo4|guo1
天	tian1
作	zuo4|zuo1|zuo2
分	fen1|fen4|fen2
方	fang1|fang2|fang3|pang2|wang3|feng1
用	yong4
多	duo1
你	ni3
着	zhe5|zhao1|zhao2|zhuo2
部	bu4|pou3
能	neng2|tai2|nai2|nai4|xiong2
市	shi4|fu2
等	deng3
业	ye4
全	quan2
里	li3|li5
工	gong1
公	gong1
经	jing1|jing4
本	ben3|ben1
都	dou1|du1
而	er2|neng2
高	gao1|gao4
政	zheng4|zheng1
法	fa3
面	mian4
门	men2
动	dong4
日	ri4
进	jin4
区	qu1|ou1
事	shi4|zi4
代	dai4
那	na4|na1|nuo2|nuo4|nei4|na3|nei3|ne2|nai3|ne4
去	qu4|qu1
心	xin1
小	xiao3
同	tong2|tong4
北	bei3|bei4
定	ding4
开	kai1
产	chan3
前	qian2|jian3
其	qi2|ji1|ji4
军	jun1
还	hai2|huan2|fu2
然	ran2
起	qi3
种	zhong3|chong2|zhong4
所	suo3
如	ru2
现	xian4
理	li3
机	ji1|wei4
体	ti3|ti1|ben4|cui4
表	biao3
力	li4
好	hao3|hao4
外	wai4
与	yu3|yu4|yu2
文	wen2
当	dang1|dang4
两	liang3
实	shi2
重	zhong4|chong2|tong2
新	xin1
三	san1
么	me5|yao1|mo2|ma5
只	zhi3|zhi1
山	shan1
水	shui3
关	guan1
明	ming2|meng4
从	cong2|zong4
化	hua4|hua1|huo4
平	ping2|pian2|bing4|beng1
建	jian4
又	you4
制	zhi4
南	nan2|na1
内	nei4|na4|rui4
西	xi1
没	mei2|mo4|me5
此	ci3
将	jiang1|jiang4|qiang1
员	yuan2|yun4|yun2
名	ming2|ming4
手	shou3
最	zui4|cuo1
东	dong1
头	tou2|tou5
者	zhe3
月	yue4|ru4
间	jian1|jian4
无	wu2|mo2
安	an1
看	kan4|kan1
见	jian4|xian4
各	ge4|ge3
城	cheng2
十	shi2
相	xiang1|xiang4
但	dan4|tan3|yan4
已	yi3|si4
些	xie1|suo4|suo1
正	zheng4|zheng1
口	kou3
通	tong1|tong4
想	xiang3
度	du4|duo2|zhai2
加	jia1
第	di4
她	ta1|jie3|chi2
合	he2|ge3
院	yuan4
物	wu4
性	xing4
战	zhan4
由	you2|yao1
位	wei4|li4
常	chang2
点	dian3
海	hai3
意	yi4|yi1
场	chang3|chang2
武	wu3
使	shi3
次	ci4|zi1|ci2
二	er4
向	xiang4
治	zhi4|chi2
因	yin1
立	li4|wei4
数	shu4|shu3|shuo4
样	yang4|yang2
身	shen1|juan1
情	qing2
入	ru4
原	yuan2
问	wen4
把	ba3|ba4|pa2
路	lu4|luo4
被	bei4|bi4|pi1|pi4
并	bing4|bing1
利	li4
石	shi2|dan4
老	lao3
教	jiao4|jiao1
万	wan4|mo4
知	zhi1|zhi4
级	ji2
量	liang4|liang2
